--  This is WORDS 1.97 dictionary - The order is not exactly alphabetic
A: INTERJ             \Ah!; (distress/regret/pity, appeal/entreaty, surprise/joy, objection/contempt);
PERVESTIGO, PERVESTIGARE, PERVESTIGAVI, PERVESTIGATUS: V      1 1         \make a thorough search of; explore fully;
PERVETUS, (GEN.), PERVETERIS: ADJ    3 1 POS     \very old; most ancient;
PERVIUS, PERVIA, PERVIUM: ADJ    1 1 POS     \passable, traversable; penetrable;
PERVICACIA, PERVICACIAE: N      1 1 F       \stubbornness, obstinacy, firmness, steadiness;
PERVICAX, (GEN.), PERVICACIS: ADJ    3 1 POS     \stubborn, obstinate; firm, steadfast;
PERVIDEO, PERVIDERE, PERVIDI, PERVISUS: V      2 1         \take in with the eyes or mind;
PERVIGIL, (GEN.), PERVIGILIS: ADJ    3 1 POS     \keeping watch or sleepless all night long; always watchful;
PERVIGILO, PERVIGILARE, PERVIGILAVI, PERVIGILATUS: V      1 1         \remain awake all night; keep watch all night; keep a religious vigil;
PERVINCO, PERVINCERE, PERVICI, PERVICTUS: V      3 1         \conquer completely; carry (a proposal), gain an objective, persuade;
PERVOLO, PERVOLARE, PERVOLAVI, PERVOLATUS: V      1 1         \fly or flit through; wing one's way; move rapidly through the air;
PERVULGO, PERVULGARE, PERVULGAVI, PERVULGATUS: V      1 1         \make publicly known, spread abroad;
PES, PEDIS: N      3 1 M       \foot; (pedem referre => to retreat);
PESSIMO, PESSIMARE, PESSIMAVI, PESSIMATUS: V      1 1         \ruin, debase; spoil completely, make utterly bad; harm, injure, bring calamity;
PESSULUS, PESSULI: N      2 1 M       \bolt;
PESSUM: ADV    POS         \to the lowest part, to the bottom, (~ dare => destroy, ruin);
PESSUMDO, PESSUMDARE, PESSUMDEDI, POSSUMDATUS: V      1 1         \destroy, ruin; sink, send to the bottom; put an end to; do away with, remove;
PESSUNDO, PESSUNDARE, PESSUNDEDI, POSSUNDATUS: V      1 1         \destroy, ruin; sink, send to the bottom; put an end to; do away with, remove;
PESTIFER, PESTIFERA, PESTIFERUM: ADJ    1 2 POS     \pestilential; destructive;
PESTILENS, (GEN.), PESTILENTIS: ADJ    3 1 POS     \pestilential, unhealthy, unwholesome; destructive;
PESTILENTIA, PESTILENTIAE: N      1 1 F       \plague; pestilence; fever;
PESTIS, PESTIS: N      3 3 F       \plague, pestilence, curse, destruction;
PETO, PETERE, PETIVI, PETITUS: V      3 1         \attack; aim at; desire; beg, entreat, ask (for); reach towards, make for;
PETASATUS, PETASATA, PETASATUM: ADJ    1 1 POS     \wearing the petasus; (hence equipped for a journey);
PETASIO, PETASIONIS: N      3 1 M       \forequarter/shoulder of pork;
PETASO, PETASONIS: N      3 1 M       \forequarter/shoulder of pork;
PETAURUM, PETAURI: N      2 2 N       \springboard;
PETESSO, PETESSERE, -, -: V      3 1         \to long for, strive after;
PETISSO, PETISSERE, -, -: V      3 1         \to long for, strive after;
PETITIO, PETITIONIS: N      3 1 F       \candidacy; petition;
PETITOR, PETITORIS: N      3 1 M       \seeker striver after, applicant, candidate, claimant, plaintiff;
PETITURIO, PETITURIRE, -, -: V      3 4         \to desire to stand for election;
PETORITUM, PETORITI: N      2 2 N       \an open four-wheeled carriage;
PETORRITUM, PETORRITI: N      2 2 N       \an open four-wheeled carriage;
PETRA, PETRAE: N      1 1 F       \rock, boulder; shaped stone as used in building;
PETRUS, PETRI: N      2 1 M       \Peter;
PETRO, PETRONIS: N      3 1 M       \young/breeding ram; a rustic, dolt, rube, bumpkin;
PETULANS, (GEN.), PETULANTIS: ADJ    3 1 POS     \smart-alecky; forward; impudent; reprobate;
PETULANTIA, PETULANTIAE: N      1 1 F       \impudent or boisterous aggressiveness; wantonness, immodesty;
PETULCUS, PETULCA, PETULCUM: ADJ    1 1 POS     \butting;
PEXATUS, PEXATA, PEXATUM: ADJ    1 1 POS     \wearing a garment with the nap on;
PHAEDO, PHAEDONIS: N      3 1 M       \Phaedo (disciple of Socrates, friend of Plato, founder of school at Elis);
PHAEDON, PHAEDONIS: N      3 1 M       \Phaedo (disciple of Socrates, friend of Plato, founder of school at Elis);
PHAEDRUS, PHAEDRI: N      2 1 M       \Phaedo (pupil of Socrates); Phaedrus (freeman of Augustus and Latin fabulist);
PHALA, PHALAE: N      1 1 F       \wooden tower or pillar;
PHALANGA, PHALANGAE: N      1 1 F       \roller to move ships/military engines; carrying pole; cut length of wood/rod;
PHALANGITA, PHALANGITAE: N      1 1 M       \soldiers (pl.) belonging to a phalanx;
PHALANX, PHALANGIS: N      3 1 F       \phalanx, compact body of heavy infantry; battalion; men in battle formation;
PHALARICA, PHALARICAE: N      1 1 F       \heavy missile (orig. by siege tower catapult w/tow+pitch+fire); like hand spear;
PHALERA, PHALERAE: N      1 1 F       \ornaments (pl.) worn by men of arms and horses;
PHALERATUS, PHALERATA, PHALERATUM: ADJ    1 1 POS     \wearing phalerae;
PHANTASIA, PHANTASIAE: N      1 1 F       \fancy, imagined situation; mental image (Latham); imagination; phenomenon (Def);
PHANTASIA, PHANTASIAE: N      1 1 F       \phase; (of the moon);
PHANTASIO, PHANTASIARE, PHANTASIAVI, PHANTASIATUS: V      1 1         \imagine, fancy;
PHANTASIOR, PHANTASIARI, -, PHANTASIATUS SUM: V      1 1         \imagine, fancy;
PHANTASMA, PHANTASMATIS: N      3 2 N       \ghost; phantom; spirit;
PHANTASMATICUS, PHANTASMATICA, PHANTASMATICUM: ADJ    1 1 POS     \imaginary;
PHARAO, PHARAONIS: N      3 1 M       \Pharaoh, title of King of Egypt;
PHARETRA, PHARETRAE: N      1 1 F       \quiver;
PHARETRAUS, PHARETRAA, PHARETRAUM: ADJ    1 1 POS     \wearing a quiver;
PHARETRATUS, PHARETRATA, PHARETRATUM: ADJ    1 1 POS     \wearing a quiver;
PHARMACEUTRIA, PHARMACEUTRIAE: N      1 1 F       \sorceress;
PHARMACOPOLA, PHARMACOPOLAE: N      1 1 M       \drug-seller; quack;
PHASE, UNDECLINED: N      9 9 N       \Passover; Jewish feast; paschal lamb/sacrifice at the Passover;
PHASELUS, PHASELI: N      2 1 C       \kidney-bean; light ship;
PHASMA, PHASMATIS: N      3 2 N       \ghost, specter;
PHIALA, PHIALAE: N      1 1 F       \drinking vessel; a bowl, saucer;
PHILARGYROS, PHILARGYROS, -: ADJ    2 6 POS     \fond of money;
-, -, PHILARGYRON: ADJ    2 8 POS     \fond of money;
PHILARGYRIA, PHILARGYRIAE: N      1 1 F       \love of money; (Erasmus);
PHILIPPUS, PHILIPPI: N      2 1 M       \Philippi (pl.) (town in eastern Macedonia where Octavius defeated Brutus);
PHILIPPUS, PHILIPPI: N      2 1 M       \Philip (name of several Macedonian kings) (Philip II, father of Alexander);
PHILOLOGUS, PHILOLOGA, PHILOLOGUM: ADJ    1 1 POS     \learned, literary;
PHILOLOGUS, PHILOLOGI: N      2 1 M       \scholar;
PHILOLOGIA, PHILOLOGIAE: N      1 1 F       \love of learning, study of literature;
PHILOMELA, PHILOMELAE: N      1 1 F       \nightingale;
PHILOSOPHUS, PHILOSOPHI: N      2 1 M       \philosopher;
PHILOSOPHOR, PHILOSOPHARI, -, PHILOSOPHATUS SUM: V      1 1         \philosophize;
PHILOSOPHIA, PHILOSOPHIAE: N      1 1 F       \philosophy, love of wisdom;
PHILOSOPHICUS, PHILOSOPHICA, PHILOSOPHICUM: ADJ    1 1 POS     \philosophical, philosophic; of/concerning philosophy;
PHILOSOPHICE: ADV    POS         \philosophically;
PHILTRUM, PHILTRI: N      2 2 N       \love-potion;
PHILYRA, PHILYRAE: N      1 1 F       \linden-tree, lime-tree;
PHIMUS, PHIMI: N      2 1 M       \dice box;
PHLOGINOS, PHLOGINI: N      2 6 M       \flame-colored gem (otherwise unknown);
PHOCA, PHOCAE: N      1 1 F       \seal; (marine mammal);
PHOENICA, PHOENICAE: N      1 1 F       \Phoenicia; (coastal region of Syria);
PHOENICE, PHOENICES: N      1 6 F       \Phoenicia; (coast region of Syria); wild grass; rye grass/Lolium perenne?;
PHOENICOPTERUS, PHOENICOPTERI: N      2 1 M       \flamingo;
PHOENIX, PHOENICIS: N      3 1 M       \phoenix, a fabulous bird of Arabia;
PHONASCUS, PHONASCI: N      2 1 M       \teacher of singing/music or elocution;
PHRENESIS, PHRENESIS: N      3 3 F       \madness, frenzy;
PHRENETICUS, PHRENETICA, PHRENETICUM: ADJ    1 1 POS     \mad, frantic;
PHRYGIUS, PHRYGIA, PHRYGIUM: ADJ    1 1 POS     \Phrygian, of Phyrigia (center and west of Asia Minor); Trojan;
PHRYGIA, PHRYGIAE: N      1 1 F       \Phrygia, country comprising center and west of Asia Minor; Troy (poetical);
PHTHISIS, PHTHISIS: N      3 3 F       \consumption;
PHY: INTERJ             \pish! tush!;
PHYLACTERIUM, PHYLACTERII: N      2 2 N       \amulet; phylactery, scripture text in box on forehead of Jews; gladiator medal;
PHYLARCHES, PHYLARCHAE: N      1 7 M       \head of a tribe/phyle (Greek), magistrate; emir; army/cavelry commander;
PHYLARCHUS, PHYLARCHI: N      2 1 M       \head of a tribe/phyle (Greek), magistrate; emir; army/cavelry commander;
PHYSICUS, PHYSICA, PHYSICUM: ADJ    1 1 POS     \pertaining/relating to physics/natural science/physical nature; natural, inborn;
-, PHYSICE, -: ADJ    1 6 POS     \pertaining/relating to physics/natural science/physical nature; natural, inborn;
PHYSICOS, PHYSIC-, -: ADJ    2 7 POS     \pertaining/relating to physics/natural science/physical nature; natural, inborn;
-, -, PHYSICON: ADJ    2 8 POS     \pertaining/relating to physics/natural science/physical nature; natural, inborn;
PHYSICUS, PHYSICI: N      2 1 M       \physicist, natural philosopher; natural scientist;
PHYSICUM, PHYSICI: N      2 2 N       \physics (pl.), natural science;
PHYSICE: ADV    POS         \from the scientific/natural science point of view;
PHYSICULO, PHYSICULARE, PHYSICULAVI, PHYSICULATUS: V      1 1         \prophsey, foresee, devine;
PHYSIOGNOMON, PHYSIOGNOMONIS: N      3 1 M       \physiognomist;
PHYSIOLOGIA, PHYSIOLOGIAE: N      1 1 F       \natural science;
PIUS, PIA, PIUM: ADJ    1 1 POS     \conscientious; affectionate, tender; patriotic, dutiful, pious; holy, godly;
PIO, PIARE, PIAVI, PIATUS: V      1 1         \appease, propitiate; cleanse, expiate;
PIACULUM, PIACULI: N      2 2 N       \expiatory offering or rite; sin;
PIACULUM, PIACULI: N      2 2 N       \sin; crime;
PIACULARIS, PIACULARIS, PIACULARE: ADJ    3 2 POS     \atoning, expiatory;
PIAMEN, PIAMINIS: N      3 2 N       \atonement;
PICA, PICAE: N      1 1 F       \magpie; jay;
PICUS, PICI: N      2 1 M       \woodpecker;
PICO, PICARE, PICAVI, PICATUS: V      1 1         \to smear with pitch;
PICARIA, PICARIAE: N      1 1 F       \place where pitch is made;
PICEUS, PICEA, PICEUM: ADJ    1 1 POS     \pitch black;
PICEA, PICEAE: N      1 1 F       \spruce;
PICTUS, PICTA, PICTUM: ADJ    1 1 POS     \decorated, embroidered;
PICTOR, PICTORIS: N      3 1 M       \painter;
PICTURA, PICTURAE: N      1 1 F       \painting, picture;
PICTURATUS, PICTURATA, PICTURATUM: ADJ    1 1 POS     \decorated with color;
PIETAS, PIETATIS: N      3 1 F       \responsibility, sense of duty; loyalty; tenderness, goodness; pity; piety (Bee);
PIGO, PIGERE, PIGI, -: V      3 1         \be weakened (Douay);
PIGET, PIGERE, PIGIT: V      2 1         \it disgusts, irks, pains, chagrins, afflicts, grieves;
PIGER, PIGRA, PIGRUM: ADJ    1 2 POS     \lazy, slow, dull;
PIGMENTUM, PIGMENTI: N      2 2 N       \coloring/dye/pigment/tint/paint; ingredient; drug; sauce (Bee); (wine w/)spices;
PIGMENTARIUS, PIGMENTARIA, PIGMENTARIUM: ADJ    1 1 POS     \seller of paints and unguents;
PIGNERO, PIGNERARE, PIGNERAVI, PIGNERATUS: V      1 1         \pledge, pawn, give a pledge; bind/engage; guarantee/assure;
PIGNEROR, PIGNERARI, -, PIGNERATUS SUM: V      1 1         \appropriate; assert one's claim to; make certain, assure; guarantee, pledge;
PIGNORO, PIGNORARE, PIGNORAVI, PIGNORATUS: V      1 1         \pledge, pawn, give a pledge; bind/engage; guarantee/assure;
PIGNOROR, PIGNORARI, -, PIGNORATUS SUM: V      1 1         \appropriate; assert one's claim to; make certain, assure; guarantee, pledge;
PIGNUS, PIGNORIS: N      3 2 N       \pledge (security for debt), hostage, mortgage; bet, stake; symbol; relict;
PIGRO, PIGRARE, PIGRAVI, PIGRATUS: V      1 1         \hesitate; hang back;
PIGROR, PIGRARI, -, PIGRATUS SUM: V      1 1         \hesitate; hang back;
PIGREDO, PIGREDINIS: N      3 1 F       \slothfulness, indolence;
PIGRITIA, PIGRITIAE: N      1 1 F       \sloth, sluggishness, laziness, indolence;
PIGRITIES, PIGRITIEI: N      5 1 F       \sloth, sluggishness, laziness, indolence;
PIGROR, PIGRORIS: N      3 1 M       \sluggishness; hesitation;
PILA, PILAE: N      1 1 F       \ball (for play/made of cloth for inciting animals/decorative); sphere;
PILA, PILAE: N      1 1 F       \mortar, vessel in which things are pounded;
PILA, PILAE: N      1 1 F       \squared pillar; pier, pile; low pillar monument; funerary monument w/cavity;
PILUS, PILI: N      2 1 M       \(primipilus/primi pili centurio => first/primary/chief centurion of a legion);
PILUS, PILI: N      2 1 M       \hair; bit/whit (thing of minimal size/value); hair shirt/garment (pl.) (L+S);
PILUM, PILI: N      2 2 N       \javelin, throwing spear; pike;
PILUM, PILI: N      2 2 N       \pestle, pounding tool; (~ graecum => mechanical pounder);
PILANUS, PILANI: N      2 1 M       \soldier of the third rank;
PILATUS, PILATI: N      2 1 M       \Pilatus, Roman cognomen; Pontius Pilatus (Pilate), prefect of Judaea, 26-36 A;
PILEUS, PILEI: N      2 1 M       \felt cap (worn at Saturnalia/by slaves after manumission); freedom, liberty;
PILEUM, PILEI: N      2 2 N       \felt cap (worn at Saturnalia/by slaves after manumission); freedom, liberty;
PILENTUM, PILENTI: N      2 2 N       \luxurious carriage used by women;
PILLEUS, PILLEI: N      2 1 M       \felt cap (worn at Saturnalia/by slaves after manumission); freedom, liberty;
PILLEUM, PILLEI: N      2 2 N       \felt cap (worn at Saturnalia/by slaves after manumission); freedom, liberty;
PILOSUS, PILOSA -UM, PILOSIOR -OR -US, PILOSISSIMUS -A -UM: ADJ    1 1 X       \hairy, shaggy, covered with hair; uncouth;
PINUS, PINI: N      2 1 F       \pine/fir tree/wood/foliage; ship/mast/oar; pinewood torch;
PINUS, PINUS: N      4 1 F       \pine/fir tree/wood/foliage; ship/mast/oar; pinewood torch;
PINACOTHECA, PINACOTHECAE: N      1 1 F       \picture gallery;
PINACOTHECE, PINACOTHECES: N      1 6 F       \picture gallery;
PINCERNA, PINCERNAE: N      1 1 M       \cupbearer, butler, one who mixes drinks/serves wine; bartender; samolier;
PINEUS, PINEA, PINEUM: ADJ    1 1 POS     \of the pine, covered in pines;
PINETUM, PINETI: N      2 2 N       \pine-wood;
PINGO, PINGERE, PINXI, PICTUS: V      3 1         \paint, draw; depict, portray;
PINGUIS, PINGUE, PINGUIOR -OR -US, PINGUISSIMUS -A -UM: ADJ    3 2 X       \fat; rich, fertile; thick; dull, stupid;
PINGUEDO, PINGUEDINIS: N      3 1 F       \fat/fatness; oiliness; richness/abundance (L+S); fulness; exuberance (Def);
PINGUESCO, PINGUESCERE, -, -: V      3 1         \grow fat; become strong or fertile;
PINGUIDO, PINGUIDINIS: N      3 1 F       \fat/fatness; oiliness; richness/abundance (L+S); fulness; exuberance (Def);
PINIFER, PINIFERA, PINIFERUM: ADJ    1 2 POS     \covered with/bearing/carrying/producing pine/fir trees;
PINIGER, PINIGERA, PINIGERUM: ADJ    1 2 POS     \covered with/bearing pine/fir trees/foliage;
PINNA, PINNAE: N      1 1 F       \feather; wing; fin; battlement/parapet, spire/steeple; flap; water wheel paddle;
PINNA, PINNAE: N      1 1 F       \lobe (of the liver);
PINNACULUM, PINNACULI: N      2 2 N       \pinnacle, peak (of building);
PINNACULUM, PINNACULI: N      2 2 N       \small/little wing/feather; little fin; gable;
PINNACULUM, PINNACULI: N      2 2 N       \small/little/puny wing; (Vulgate 4 Ezra 11);
PINNATUS, PINNATA, PINNATUM: ADJ    1 1 POS     \feathered, winged;
PINNICULUM, PINNICULI: N      2 2 N       \quill pen (small);
PINNIGER, PINNIGERA, PINNIGERUM: ADJ    1 2 POS     \winged; finny;
PINNIRAPUS, PINNIRAPI: N      2 1 M       \crestsnatcher, i.e. a kind of gladiator;
PINNULA, PINNULAE: N      1 1 F       \small/little wing/feather; little fin;
PINNULA, PINNULAE: N      1 1 F       \small/little wing/feather; little fin; skirt (of garment) (Souter);
PINSO, PINSERE, PINSI, PINSUS: V      3 1         \to stamp, pound, crush
PINSO, PINSERE, PINSI, PISTUS: V      3 1         \to stamp, pound, crush
PINSO, PINSERE, PINSUI, PINSITUS: V      3 1         \to stamp, pound, crush
PIPER, PIPERIS: N      3 1 M       \pepper;
PIPIO, PIPIARE, PIPIAVI, PIPIATUS: V      1 1         \chirp, pipe;
PIPILO, PIPILARE, PIPILAVI, PIPILATUS: V      1 1         \to twitter, chirp;
PIPULUS, PIPULI: N      2 1 M       \outcry;
PIPULUM, PIPULI: N      2 2 N       \outcry;
PIRUS, PIRI: N      2 1 F       \pear-tree;
PIRUM, PIRI: N      2 2 N       \pear;
PIRATA, PIRATAE: N      1 1 M       \pirate;
PIRATICUS, PIRATICA, PIRATICUM: ADJ    1 1 POS     \piratical;
PISCOR, PISCARI, -, PISCATUS SUM: V      1 1         \fish;
PISCATOR, PISCATORIS: N      3 1 M       \fisherman;
PISCATORIUS, PISCATORIA, PISCATORIUM: ADJ    1 1 POS     \of or for fishing;
PISCICULUS, PISCICULI: N      2 1 M       \little fish;
PISCINA, PISCINAE: N      1 1 F       \pool; fishpond; swiming pool, spa; tank, vat, basin;
PISCINARIUS, PISCINARII: N      2 1 M       \one fond of fish ponds;
PISCIS, PISCIS: N      3 3 M       \fish;
PISCOSUS, PISCOSA, PISCOSUM: ADJ    1 1 POS     \teeming with fish;
PISO, PISONIS: N      3 1 M       \Piso, Roman cognomen; L. Calpurnius Piso, consul 58 BC; M. Pupius Piso, 61 BC;
PISTICUS, PISTICA, PISTICUM: ADJ    1 1 POS     \pure; genuine;
PISTILLUM, PISTILLI: N      2 2 N       \pestle;
PISTOR, PISTORIS: N      3 1 M       \pounder of far (emmer wheat); miller/baker;
PISTRINA, PISTRINAE: N      1 1 F       \mill/bakery;
PISTRINUM, PISTRINI: N      2 2 N       \mill/bakery; (as a place of punishment of slaves or of drudgery);
PISTRINARIUS, PISTRINARI(I): N      2 4 M       \owner of a pistrium (mill/bakery);
PISTRINENSIS, PISTRINENSIS, PISTRINENSE: ADJ    3 2 POS     \belonging to/kept in a pistrinum (mill/bakery);
PISTRIS, PISTRIS: N      3 3 F       \sea monster; whale; sawfish; light oared vessel;
PISTRIS, PISTRIS: N      3 3 F       \sea monster; whale; sawfish; light oared vessel;
PISTRIX, PISTRICIS: N      3 1 F       \pounder (female) of far (emmer wheat); miller/baker;
PISTRIX, PISTRICIS: N      3 1 F       \sea monster; whale; sawfish; light oared vessel;
PITTACIUM, PITTACII: N      2 2 N       \small piece of cloth; label, ticket;
PITUITA, PITUITAE: N      1 1 F       \mucus, catarrh, phlegm; pip, disease of poultry; morbid/viscous discharge;
PITUITOSUS, PITUITOSA, PITUITOSUM: ADJ    1 1 POS     \suffering from catarh, rheumy; full of phlegm;
PITUITOSUS, PITUITOSI: N      2 1 M       \person suffering from catarh/rheumy/full of phlegm;
PIX, PICIS: N      3 1 F       \pitch, tar;
PIXIS, PIXIDOS/IS: N      3 7 F       \small box/casket (originally boxwood) for medicine; iron heel on pestle (L+S);
PL, UNDECLINED: ADJ    9 8 POS     \of the common people/plebians; abbr. pl. for plebei/plebis; (tr. pl.);
