--  This is WORDS 1.97 dictionary - The order is not exactly alphabetic
A: INTERJ             \Ah!; (distress/regret/pity, appeal/entreaty, surprise/joy, objection/contempt);
ABSTERGO, ABSTERGERE, ABSTERSI, ABSTERSUS: V      3 1         \wipe off/clean/away, clean away, cleanse, strip off; banish, expel, dispel;
ABSTERREO, ABSTERRERE, ABSTERRUI, ABSTERRITUS: V      2 1         \frighten off/away; drive away; deter, discourage; keep away/withhold from, den;
ABSTINEO, ABSTINERE, ABSTINUI, ABSTENTUS: V      2 1         \withhold, keep away/clear; abstain, fast; refrain (from); avoid; keep hands of;
ABSTINAX, (GEN.), ABSTINACIS: ADJ    3 1 POS     \abstemious, staying away from liquor; temperate/sparing in drink/food;
ABSTINENS, ABSTINENTIS (GEN.), ABSTINENTIOR -OR -US, ABSTINENTISSIMUS -A -UM: ADJ    3 1 X       \abstinent, temperate; showing restraint, self restrained; not covetous; chaste;
ABSTINENTER: ADV    POS         \abstinently, with self restraint (esp. financial dealings); scrupulously;
ABSTINENTIA, ABSTINENTIAE: N      1 1 F       \abstinence; fasting; moderation, self control, restraint; integrity; parsimony;
ABSTRACTUS, ABSTRACTA, ABSTRACTUM: ADJ    1 1 POS     \abstract (as opposed to concrete);
ABSTRACTIO, ABSTRACTIONIS: N      3 1 F       \separation;
ABSTRAHO, ABSTRAHERE, ABSTRAXI, ABSTRACTUS: V      3 1         \drag away from, remove forcibly, abort; carry off to execution; split;
ABSTRUDO, ABSTRUDERE, ABSTRUSI, ABSTRUSUS: V      3 1         \thrust away, conceal, hide; suppress/prevent (emotion) becoming apparent;
ABSTRUSUS, ABSTRUSA -UM, ABSTRUSIOR -OR -US, ABSTRUSISSIMUS -A -UM: ADJ    1 1 X       \secret, reserved; concealed, hidden; remote, secluded; abstruse, recondite;
ABSTRUSE: ADV    POS         \secretly; remotely; abstrusely;
ABSTRUSIO, ABSTRUSIONIS: N      3 1 F       \removing, concealing;
ABSTULO, ABSTULERE, -, -: V      3 1         \to take away, withdraw;
ABSUMO, ABSUMERE, ABSUMPSI, ABSUMPTUS: V      3 1         \spend, waste, squander, use up; take up (time); consume; exhaust, wear out;
ABSUMEDO, ABSUMEDINIS: N      3 1 F       \act of squandering/wasting/using up; consuming/devouring consumption;
ABSUMPTIO, ABSUMPTIONIS: N      3 1 F       \act of spending/using up; consumption; a consuming;
ABSURDUS, ABSURDA, ABSURDUM: ADJ    1 1 POS     \out of tune, discordant; absurd, nonsensical, out of place; awkward, uncouth;
ABSURDE: ADV    POS         \as to be out of tune, discordantly; preposterously, absurdly, inappropriately;
ABUNDUS, ABUNDA, ABUNDUM: ADJ    1 1 POS     \having plenty of water; copious (L+S, Late Latin);
ABUNDO, ABUNDARE, ABUNDAVI, ABUNDATUS: V      1 1         \abound (in), have in large measure; overdo, exceed; overflow; be rich/numerous;
ABUNDANS, ABUNDANTIS (GEN.), ABUNDANTIOR -OR -US, ABUNDANTISSIMUS -A -UM: ADJ    3 1 X       \abundant; overflowing; abounding, copious, in large measure; overdone; rich;
ABUNDANTER, ABUNDANTIUS, ABUNDANTISSIME: ADV    X           \abundantly; profusely, copiously; on a lavish scale;
ABUNDANTIA, ABUNDANTIAE: N      1 1 F       \abundance, plenty; riches; fullness; overflow, excess; discharge (of blood);
ABUNDATIO, ABUNDATIONIS: N      3 1 F       \an overflowing; abundance; overflow;
ABUNDE: ADV    POS         \abundantly; in profusion/abundance; more than enough; amply, exceedingly, very;
ABUSUS, ABUSUS: N      4 1 M       \an abusing, misuse, wasting; using up;
ABUSIO, ABUSIONIS: N      3 1 F       \use of wrong synonym; catachresis, loose/improper use of a word/term/metaphor;
ABUSIVUS, ABUSIVA, ABUSIVUM: ADJ    1 1 POS     \misapplied;
ABUSIVE: ADV    POS         \loosely, catachresisly, by loose/improper use of language/term/metaphor;
ABUSOR, ABUSORIS: N      3 1 M       \he who misuses;
ABUSQUE: ADV    POS         \all the way from; from/since the time of;
ABUSQUE: PREP   ABL         \all the way from; from/since the time of;
ABUTOR, ABUTI, -, ABUSUS SUM: V      3 1         \waste, squander; abuse; misuse; use up; spend; exhaust; misapply (word); curse;
ABVERTO, ABVERTERE, ABVERTI, ABVERSUS: V      3 1         \turn away from/aside, divert, rout; disturb; withdraw; steal, misappropriate;
ABYSSUS, ABYSSI: N      2 1 F       \deep, sea; abyss; hell, infernal pit; bowels of the earth; primal chaos;
AC: CONJ               \and, and also, and besides;
ACUS, ACUS: N      4 1 F       \needle, pin; hair-pin; pipefish, needlefish; detail; husks/chaff (pl.);
ACEO, ACERE, -, -: V      2 1         \be sour;
ACACIA, ACACIAE: N      1 1 F       \acacia, gum arabic tree; gum of this or related trees. gum arabic;
ACADEMIA, ACADEMIAE: N      1 1 F       \academy, university; gymnasium where Plato taught; school built by Cicero;
ACADEMICUS, ACADEMICA, ACADEMICUM: ADJ    1 1 POS     \academic; of the Academy/Academic philosophy/Cicero's Academics (views);
ACALANTHIS, ACALANTHIDOS/IS: N      3 9 F       \a small song-bird (of dark-green color); thistle-finch, goldfinch;
ACALEPHE, ACALEPHES: N      1 6 F       \nettle (plant);
ACANUS, ACANI: N      2 1 M       \pine thistle;
ACANOS, ACANI: N      2 6 M       \thistle (plant);
ACANTHUS, ACANTHI: N      2 1 M       \bear's-foot, (black) hellbore (plant); gum arabic tree/wood;
ACANTHOS, ACANTHI: N      2 6 M       \bear's-foot, (black) hellbore (plant); gum arabic tree/wood;
ACANTHIUS, ACANTHIA, ACANTHIUM: ADJ    1 1 POS     \made from some species of cotton plant;
ACANTHION, ACANTHII: N      2 8 N       \species of cotton plant or thistle; cotton thistle;
ACANTHICOS, ACANTHICOS, -: ADJ    2 6 POS     \from pine-thistle (only ~e mastiche => gum/mastich from pine-thistle/helxine);
-, -, ACANTHICON: ADJ    2 8 POS     \from pine-thistle (only ~e mastiche => gum/mastich from pine-thistle/helxine);
ACANTHILLIS, ANCANTHILLIDIS: N      3 1 F       \wild asparagus;
ACANTHINUS, ACANTHINA, ACANTHINUM: ADJ    1 1 POS     \of/resembling bear's-foot/hellbore plant; (gum) arabic; of/made of cotton;
ACANTHIS, ACANTHIDIS: N      3 1 F       \a small song-bird (thistle/gold finch L+S); groundsel (plant Senecio vulgaris);
ACANTHYLLIS, ACANTHYLLIDIS: N      3 1 F       \a small song-bird;
ACAPNUS, ACAPNA, ACAPNUM: ADJ    1 1 POS     \obtained without smoke (honey); burning without smoke (wood); smokeless;
ACAPNOS, ACAPNOS, -: ADJ    2 6 POS     \obtained without smoke (honey); burning without smoke (wood); smokeless;
-, -, ACAPNON: ADJ    2 8 POS     \obtained without smoke (honey); burning without smoke (wood); smokeless;
ACARNA, ACARNAE: N      1 1 F       \an edible sea fish;
ACARNE, ACARNES: N      1 6 F       \an edible sea fish;
ACATUS, ACATI: N      2 1 F       \light vessel/boat;
ACATALECTUS, ACATALECTA, ACATALECTUM: ADJ    1 1 POS     \verse in which no syllable is wanting in the last foot (opp. catalectus);
ACATALECTICUS, ACATALECTICA, ACATALECTICUM: ADJ    1 1 POS     \verse in which no syllable is wanting in the last foot (opp. catalecticus);
ACATIUM, ACATII: N      2 2 N       \kind of light Greek sailing boat; large sail;
ACATION, ACATII: N      2 8 N       \kind of light Greek sailing boat; large sail;
ACAUNUMARGA, ACAUNUMARGAE: N      1 1 F       \red marl (clayey limestone) used as fertilizer used by Celts in Gaul/Britain;
ACAUSTUS, ACAUSTA, ACAUSTUM: ADJ    1 1 POS     \incombustible;
ACAUSTOS, ACAUSTOS, -: ADJ    2 6 POS     \incombustible;
-, -, ACAUSTON: ADJ    2 8 POS     \incombustible;
ACCEO, ACCERE, -, -: V      2 1         \send for, summon (forth), fetch; invite; (w/mortum) commit suicide;
ACCANO, ACCANERE, -, -: V      3 1         \sing to/with;
ACCANTUS, ACCANTUS: N      4 1 M       \accent, intonation, accentuation, intensity, tone; signal, blast;
ACCANTO, ACCANTERE, -, -: V      3 1         \sing to (a person); sing at (a place);
ACCEDO, ACCEDERE, ACCESSI, ACCESSUS: V      3 1         \come near, approach; agree with; be added to (w/ad or in + ACC); constitute;
ACCEDENTER: ADV    POS         \nearly;
ACCEDENTIA, ACCEDENTIAE: N      1 1 F       \an additional quality;
ACCELERO, ACCELERARE, ACCELERAVI, ACCELERATUS: V      1 1         \speed up, quicken, hurry; make haste, act quickly, hasten; accelerate;
ACCELERATIO, ACCELERATIONIS: N      3 1 F       \speeding up, quickening, acceleration, hastening;
ACCENDO, ACCENDERE, ACCENDI, ACCENSUS: V      3 1         \kindle, set on fire, light; illuminate; inflame, stir up, arouse; make bright;
ACCENDIUM, ACCENDII: N      2 2 N       \kindling, setting on fire;
ACCENDO, ACCENDONIS: N      3 1 M       \inciter, instigator;
ACCENSUS, ACCENSA, ACCENSUM: ADJ    1 1 POS     \reckoned among; attached, attending;
ACCENSUS, ACCENSI: N      2 1 M       \supernumerary soldier (usu. pl. ~ velatus i=> replacements); attendant, orderly;
ACCENSUS, ACCENSUS: N      4 1 M       \lighting; kindling, setting on fire;
ACCENSEO, ACCENSERE, ACCENSUI, ACCENSUS: V      2 1         \attach as an attendant to; add to;
ACCENSIBILIS, ACCENSIBILIS, ACCENSIBILE: ADJ    3 2 POS     \burnable, that may be burned; burning;
ACCENTUS, ACCENTUS: N      4 1 M       \accent, intonation, accentuation, intensity, tone; signal, blast;
ACCENTO, ACCENTERE, -, -: V      3 1         \sing to (a person); sing at (a place);
ACCENTIUNCULA, ACCENTIUNCULAE: N      1 1 F       \accent, intonation;
ACCENTOR, ACCENTORIS: N      3 1 M       \one who sings with another;
ACCEPTA, ACCEPTAE: N      1 1 F       \allotment, portion of land assigned to one person;
ACCEPTUM, ACCEPTI: N      2 2 N       \receipts (vs. expenditures); favors; receipt side of account; written receipt;
ACCEPTO, ACCEPTARE, ACCEPTAVI, ACCEPTATUS: V      1 1         \receive regularly, take (payment/food); be given (name); submit to; grasp idea;
ACCEPTUS, ACCEPTA -UM, ACCEPTIOR -OR -US, ACCEPTISSIMUS -A -UM: ADJ    1 1 X       \welcome, pleasing; popular with, well liked; dear; received/credited (money);
ACCEPTABILIS, ACCEPTABILIS, ACCEPTABILE: ADJ    3 2 POS     \acceptable;
ACCEPTARIUS, ACCEPTARIA, ACCEPTARIUM: ADJ    1 1 POS     \allotment-holding;
ACCEPTATUS, ACCEPTATA -UM, ACCEPTATIOR -OR -US, ACCEPTATISSIMUS -A -UM: ADJ    1 1 X       \acceptable, welcome, pleasing;
ACCEPTATOR, ACCEPTATORIS: N      3 1 M       \one who accepts/approves; avenue/access/passage for admittance of the people;
ACCEPTILATIO, ACCEPTILATIONIS: N      3 1 F       \formal release from an obligation;
ACCEPTIO, ACCEPTIONIS: N      3 1 F       \taking (over), accepting, receiving; meaning; sense;
ACCEPTOR, ACCEPTORIS: N      3 1 M       \receiver; collector; believer, one who accepts as true; type of hawk;
ACCEPTORIUS, ACCEPTORIA, ACCEPTORIUM: ADJ    1 1 POS     \designed/fit/suitable for receiving;
ACCEPTRIX, ACCEPTRICIS: N      3 1 F       \receiver (female); she who receives; believer, she who accepts as true;
ACCERSO, ACCERSERE, ACCERSI, -: V      3 1         \send for, summon; indict/accuse; fetch, import; invite; invoke; bring on oneself
ACCERSO, ACCERSERE, ACCERSIVI, ACCERSITUS: V      3 1         \send for, summon; indict/accuse; fetch, import; invite; invoke; bring on oneself
ACCERSIO, ACCERSIRE, -, -: V      3 4         \send for, summon; indict/accuse; fetch, import; invite; invoke; bring on oneself
ACCERSITUS, ACCERSITA, ACCERSITUM: ADJ    1 1 POS     \brought from elsewhere, foreign; extraneous; self-inflicted (death); sent for;
ACCERSITUS, ACCERSITUS: N      4 1 M       \summons, sending for;
ACCERSITIO, ACCERSITIONIS: N      3 1 F       \summons, sending for; (dies ~ => day of death);
ACCERSITOR, ACCERSITORIS: N      3 1 M       \one who comes to summon/call/fetch another; accuser;
ACCESSA, ACCESSAE: N      1 1 F       \approach, arrival; entry, admittance, audience; hostile approach/attack; onset;
ACCESSUS, ACCESSUS: N      4 1 M       \approach, arrival; entry, admittance, audience; hostile approach/attack; onset;
ACCESSIBILIS, ACCESSIBILIS, ACCESSIBILE: ADJ    3 2 POS     \accessible;
ACCESSIBILITAS, ACCESSIBILITATIS: N      3 1 F       \accessibility;
ACCESSIO, ACCESSIONIS: N      3 1 F       \approach; increase, bonus; accessory; attack, onset (fever, rage); fit;
ACCESSITO, ACCESSITARE, ACCESSITAVI, ACCESSITATUS: V      1 1         \approach repeatedly; keep on coming;
ACCIO, ACCIRE, ACCIVI, ACCITUS: V      3 4         \send for, summon (forth), fetch; invite; (w/mortum) commit suicide;
ACCIEO, ACCIERE, ACCIVI, ACCITUS: V      2 1         \send for, summon (forth), fetch; invite; (w/mortum) commit suicide;
ACCIDIT, ACCIDERE, ACCIDIT: V      3 1         \happens, turns out, befalls; to fall upon; come to pass, occur;
ACCIDO, ACCIDERE, ACCIDI, ACCISUS: V      3 1         \cut, cut into/down/up, hack, hew, fell; overthrow, destroy; cut short; weaken;
ACCIDO, ACCIDERE, ACCIDI, -: V      3 1         \fall upon/down/to/at or near, descend, alight; happen, occur; happen to (w/DAT;
ACCIDENS, ACCIDENTIS: N      3 4 N       \accidental happening, chance event, contingency; accident, circumstance;
ACCIDENTIA, ACCIDENTIAE: N      1 1 F       \chance, casual event, that which happens;
ACCINO, ACCINERE, -, -: V      3 1         \sing to/with;
ACCINCTUS, ACCINCTA, ACCINCTUM: ADJ    1 1 POS     \well girded; ready, prepared; strict (opp. negligens);
ACCINGO, ACCINGERE, ACCINXI, ACCINCTUS: V      3 1         \gird on or about, surround; equip, provide (with); get ready, prepare (for);
ACCIPIO, ACCIPERE, ACCEPI, ACCEPTUS: V      3 1         \take, grasp, receive, accept, undertake; admit, let in, hear, learn; obey;
ACCIPITER, ACCIPITRIS: N      3 1 C       \hawk (any of several species); flying gurnard (fish);
ACCIPITRO, ACCIPITRARE, ACCIPITRAVI, ACCIPITRATUS: V      1 1         \tear, rend (like a hawk);
ACCIPITRINA, ACCIPITRINAE: N      1 1 F       \act of a hawk; rapacity;
ACCITUS, ACCITA, ACCITUM: ADJ    1 1 POS     \imported, brought from abroad;
ACCITUS, ACCITUS: N      4 1 M       \summons, call;
ACCITIO, ACCITIONIS: N      3 1 F       \calling, summoning;
ACCLAMO, ACCLAMARE, ACCLAMAVI, ACCLAMATUS: V      1 1         \shout (at), cry out against, protest; shout approval, applaud;
ACCLAMATIO, ACCLAMATIONIS: N      3 1 F       \acclamation, shout (of comment/approval/disapproval); crying against; brawling;
ACCLARO, ACCLARARE, ACCLARAVI, ACCLARATUS: V      1 1         \make clear, reveal, make manifest;
ACCLINIS, ACCLINIS, ACCLINE: ADJ    3 2 POS     \leaning/resting (on/against); sloping, inclined; disposed/inclined (to);
ACCLINO, ACCLINARE, ACCLINAVI, ACCLINATUS: V      1 1         \lay down, rest (on) (w/DAT), lean against/towards, incline (to);
ACCLIVUS, ACCLIVA, ACCLIVUM: ADJ    1 1 POS     \rising, sloping/inclining upward, ascending, up hill; steep;
ACCLIVIS, ACCLIVIS, ACCLIVE: ADJ    3 2 POS     \rising, sloping/inclining upward, ascending, up hill; steep;
ACCLIVIUS, ACCLIVIA, ACCLIVIUM: ADJ    1 1 POS     \well-disposed;
ACCLIVIS, ACCLIVIS: N      3 4 N       \upward slope;
ACCLIVITAS, ACCLIVITATIS: N      3 1 F       \slope, ascent, upward inclination, steepness;
ACCLUDO, ACCLUDERE, ACCLUSI, ACCLUSUS: V      3 1         \close up, shut the door;
ACCOGNOSCO, ACCOGNOSCERE, -, -: V      3 1         \recognize (visually or by some other means);
ACCOLA, ACCOLAE: N      1 1 C       \neighbor; one who lives nearby/beside; inhabitant;
ACCOLO, ACCOLERE, ACCOLUI, ACCULTUS: V      3 1         \dwell/live near; be a neighbor to;
ACCOLENS, ACCOLENTIS: N      3 3 M       \neighbors, people of the neighborhood;
ACCOMMODUS, ACCOMMODA, ACCOMMODUM: ADJ    1 1 POS     \fitting, convenient, suitable to, adapted to;
ACCOMMODO, ACCOMMODARE, ACCOMMODAVI, ACCOMMODATUS: V      1 1         \adapt, adjust to, fit, suit; apply to, fasten on; apply/devote oneself to;
ACCOMMODATUS, ACCOMMODATA -UM, ACCOMMODATIOR -OR -US, ACCOMMODATISSIMUS -A -UM: ADJ    1 1 X       \fit, suitable, appropriate; suiting the interests (of); favorably disposed (to;
ACCOMMODATE, ACCOMMODATIUS, ACCOMMODATISSIME: ADV    X           \fittingly, in a suitable manner;
ACCOMMODATIO, ACCOMMODATIONIS: N      3 1 F       \adjustment, willingness to oblige, complaisance; fitting, adapting, adaptation;
ACCONGERO, ACCONGERARE, ACCONGERAVI, ACCONGERATUS: V      1 1         \bear, bring forth;
ACCORPORO, ACCORPORARE, ACCORPORAVI, ACCORPORATUS: V      1 1         \incorporate, fit/join to;
ACCREDO, ACCREDERE, ACCREDIDI, ACCREDITUS: V      3 1         \give credence to, believe; put faith in, trust;
ACCRESCO, ACCRESCERE, ACCREVI, ACCRETUS: V      3 1         \increase/swell, grow larger/up/progressively; be added/annexed to; arise;
ACCRETUS, ACCRETA, ACCRETUM: ADJ    1 1 POS     \overgrown with; encased in;
ACCRETIO, ACCRETIONIS: N      3 1 F       \increase, an increasing, increment;
ACCUBO, ACCUBARE, ACCUBUI, ACCUBITUS: V      1 1         \lie near or by; recline at table;
ACCUBITUM, ACCUBITI: N      2 2 N       \couch for large number of guests to recline at meals (triclinium, 3 seats);
ACCUBITUS, ACCUBITUS: N      4 1 M       \a reclining (at meals), lying (at table); couch/seat; place for a couch (L+S);
ACCUBITALIA, ACCUBITALIAE: N      1 1 F       \covering spread over dining table couches;
ACCUBITATIO, ACCUBITATIONIS: N      3 1 F       \a reclining (at meals), lying (at table);
ACCUBITIO, ACCUBITIONIS: N      3 1 F       \a reclining (at meals), lying (at table); couch (LL L+S);
ACCUBITORIUS, ACCUBITORIA, ACCUBITORIUM: ADJ    1 1 POS     \pertaining to reclining (at table);
ACCUBO: ADV    POS         \in a prone/recumbent position;
ACCUDO, ACCUDERE, -, -: V      3 1         \coin in addition; strike/stamp/mint (coin) (L+S); make more money, add wealth;
ACCUMBO, ACCUMBERE, ACCUMBUI, ACCUMBITUS: V      3 1         \take a place/recline at the table; lie on (bed), lie at/prone, lie beside;
ACCUMULO, ACCUMULARE, ACCUMULAVI, ACCUMULATUS: V      1 1         \accumulate, heap/pile up/soil; add by exaggeration; add, increase, enhance;
ACCUMULATE, ACCUMULATIUS, ACCUMULATISSIME: ADV    X           \copiously, abundantly; superabuntly;
ACCUMULATIO, ACCUMULATIONIS: N      3 1 F       \accumulation, heaping/piling up (earth);
ACCUMULATOR, ACCUMULATORIS: N      3 1 M       \heaper up; one who accumulates/amasses;
ACCURO, ACCURARE, ACCURAVI, ACCURATUS: V      1 1         \take care of, attend to (duties/guests), give attention to; perform with care;
ACCURATUS, ACCURATA -UM, ACCURATIOR -OR -US, ACCURATISSIMUS -A -UM: ADJ    1 1 X       \accurate, exact, with care, meticulous; carefully performed/prepared; finished;
ACCURATE, ACCURATIUS, ACCURATISSIME: ADV    X           \carefully, accurately, precisely, exactly; nicely; painstakingly, meticulous;
